Annotation-Level1,Text,Annotation-Level2
Threat ,you're a stupid fat cunt please die before someone has to make the effort to kill you ,Sexist
Threat ,listen here you slutty hoe bag all you want is money but all you need is a cock in your ass,Sexist
Threat ,I wish I could have sex with you then run you over with my car ,Sexist
Threat ,Gonna rape you with my 7 inch cock bitch better be ready ,Sexist
Threat ,This is an anonymous death threat ,Sexist
Threat ,The only question is are you gonna be raped killed or both? ,Sexist
Threat ,Death threats and rape threats are a part of our culture but you deserve both for real ,Sexist
Threat ,If you take death threats seriously kill yourself because thats easier than whats coming your way,Sexist
Threat ,Im goin to kill you,Sexist
Threat ,imma kill you and rape you slut,Sexist
Threat ,You Stupid ass bitch I will fuck you in the ass so hard I would break the 9.5 earthquake record and leave your ass jiggling for days,Sexist
Threat ,Im gonna fuck you you stupid bicth ,Sexist
Threat ,Im gonna beat you with a sock of quarters if you come to town bitch ,Sexist
Threat ,I swear Im gonna put this bitch 6 feet deep ,Sexist
Threat ,If you dont die like really soon imma kill you myself ,Sexist
Threat ,Hope she dies really soon otherwise I'll kill her myself ,Sexist
Threat ,I will stab your stupid fucking ugly face you feminist cunt ,Sexist
Threat ,I will grab my 12 gague and shove it so far up your ass bitch ,Sexist
Threat ,Stop being such a pussy or I'll rape you for real ,Sexist
Threat ,get the fuck over yourself so many death threats why dont you die do I have to kill you myself 'cause I will,Sexist
Threat ,You gonna get raped real soon ,Sexist
Threat ,Im goin to come to your house and violently rape you in front of your whole family ,Sexist
Threat ,I don't advocate for violence against women at all but for this bitch I'll make an exception with my dick ,Sexist
Threat ,bitch what you really need is a good dicking I'm comin for you,Sexist
Threat ,If you don't shut up I'll put my dick in your mouth to shut you up ,Sexist
Threat ,Retweet me or I will bomb your house at night ,Sexist
Threat ,youre one dumb cunt and im gonna come to your house and kill you slowly ,Sexist
Threat ,youre gonna die in a car crash one day bitch ,Sexist
Threat ,hey cunt youre gonna literally die in a hole ,Sexist
Threat ,Im gonna fuck you until you die ,Sexist
Threat ,I would rape your lil girl with mufc flags and put her face in your penis if I ever got a chance ,Sexist
Threat ,keep calm and get raped by me stupid bitch ,Sexist
Threat ,I'll rape you if I ever see you cunt ,Sexist
Threat ,when I fuck you you will cry ,Sexist
Threat ,your science wont work when Im raping your ass ,Sexist
Threat,I challenge you I am fighter of Allah I will make a hole in your ass with my penis while you cry,Sexist
Threat ,I will rape you until you bleed from your ass and beg for mercy,Sexist
Threat ,I will shove my feet in ur ravaged cunt as you puke blood on the floor just you wait ,Sexist
Threat ,I am going to make your brother watch as I raoe and kill you beware cunt ,Sexist
Threat ,The thing is you gonna like it when I force you on your pretty little knees and shove my cock into your mouth just wait and see slut,Sexist
Threat ,You've pushed too far now bend over bitch I'm coming for you,Sexist
Threat ,I'll rape you in the ass with a javelin bimbo cunt,Sexist
Threat ,I'm gonna make you get down on all fours and rape you like the whore you are ,Sexist
Threat ,Will rape you in the mid town bitch ,Sexist
Threat ,How you gonna feel when you watch us rape your daughter dickhead,Sexist
Threat ,Im gonna kill you you whore you better watch your back,Sexist
Threat ,I'll rape you how does that feel,Sexist
Threat ,You'll be the one begging for mercy by the time I'm done with your ass ,Sexist
Threat ,What you really need is a good raping every now and then dont worry im almost there ,Sexist
Threat ,I'll rape you and your sister just to see who dies first ,Sexist
Threat,Oh and by the way Im gonna pass your mom to my friends tonight coz Im done with her,Sexist
Threat ,Ill rape you and youll enjoy it whore ,Sexist
Threat,Id punch you in the face and then piss in your bloodied mouth and I know where you live so watch your back bitch,Sexist
Threat ,Ill make your father rape you you cunt ,Sexist
Threat ,When I rape you itll be funny and youll be tasty ,Sexist
Threat ,See this I know where you live Ill rape you in your own bed black bitch ,Sexist
Threat ,me and my bro about to rape you irl bitch ,Sexist
Threat ,if ur baby turns 18 ill rape her ,Sexist
Threat,do you wanna suck my cock idc really you will tonight anyway,Sexist
Threat,gonna rape your girl with all my guys nigga,Sexist
Threat ,Imma place a bomb outside your house bitch ,Sexist
Threat ,There is a bomb outside your house youll die tonight bitch ,Sexist
Threat,We gonna rape the shit out of you ,Sexist
Threat ,What you need is a good raping dumb bitch ,Sexist
Threat ,I'm gonna drop a boulder on your head real soon bitch ,Sexist
Threat,You'll get raped and you'll absolutely deserve it ,Sexist
Threat ,When I rape you you'll thank me because thats the only way youll be getting any sex ,Sexist
Threat ,Are you ready to get fucked bitch? See you soon,Sexist
Threat,Shut up or we'll rape you and your mom in her own  bed ,Sexist
Threat,Ill stick a rod in your cunt you whore ,Sexist
Threat ,We'll rape you and your friends just because its fun to rape bitches like you ,Sexist
Threat,Consent won't stop me from giving bitches like you what you need ,Sexist
Threat,We don't need consent to give a bitch like you what you need ,Sexist
Threat,We'll rape your entire sorority just to teach you sluts a lesson,Sexist
Threat,Imma give you the ass beating you need cunt,Sexist
Threat,I will make your fuckboy brother watch as I rape you and then my friends will rape him with a rod ,Sexist
Threat,Lol can consent stop me from nutting in your pussy? Didnt think so bitch ,Sexist
Threat,I'm gonna force fuck you whore ,Sexist
Threat,The real question is which one of us gonna nut in you first,Sexist
Threat,Rape tbe limbless freak! ,Sexist
Threat,I dare you to tweet one more time I swear I'll bash you up ,Sexist
Threat,Do you wanna get bashed up publically? No? Then shut the fuck up bitch ,Sexist
Threat,Consider this a warning,Sexist
Threat,I'll ditch you in a field covered in my cum from head to toe,Sexist
Threat,I make sure you will be raped and murdered you evil bitch,Sexist
Threat,If you don't kill yourself I will personally rape you before killing you,Sexist
Threat,Kill yourself or I'll personally make sure someone kills you,Sexist
Threat,Do we have to rape your daughter because we will,Sexist
Threat,I'll drag you by your hair and rape you on the floor of your living room,Sexist
Threat,I'm gonna rape you,Sexist
Threat,Shut up or I'll grab you by the pussy ,Sexist
Threat,I hope you enjoy your last days on Earth bitch,Sexist
Threat,Would anyone like to fuck this slut with me?,Sexist
Threat,If you have any kids I'll kill them too. Idc they're gonna grow up to be feminists anyway,Sexist
Threat,I will insert so many rods in your cunt that your intestines will fall on to the road,Sexist
Threat,i'll rape your daughter and your mother you sick terrorist fucker,Sexist
Threat,U bitch commit suicide soon otherwise I will send people to kill you,Sexist
Threat,I'm going to rape and kill you,Sexist
Threat,I will make sure you are raped bitch,Sexist
Threat,You're too ugly to be raped but I will kill you,Sexist
Threat,I'll rape you before I kill you stupid bitch,Sexist
Threat,Join me in fucking this stupid bitch tonight outside her house tonight,Sexist
Threat,I'm usually a nice guy and I wouldn't say this normally but bitch stfu or I'll kill you,Sexist
Threat,I'll rape you how do you think that'll feel,Sexist
Threat,I'm gonna smother your ass with a pillow and dump you in a lake after killing you,Sexist
Threat,Gonna fuck you and your mom whore,Sexist
Threat,Better watch your back bitch,Sexist
Threat,I hope you enjoy the rest of your life you dumb whore that's not a long time,Sexist
Threat,You made my cousin cry so when I see you bitch its gonna be a homicide ,Sexist
Threat,I'll celebrate by beating the shit out of you,Sexist
Threat,one day you're gonna get drunk and when you do I'm gonna rape the life out of you,Sexist
Threat,I'm coming for your pussy bitch,Sexist
Threat,When I'm done with you they gonna call you Jane Doe,Sexist
Threat,I'll rape you if your ass is ever in this country you cunt,Sexist
Threat,If you don't commit suicide I'll send someone to finish you off sooner or later,Sexist
Threat,Your feminist ass is gonna be the reason your daughter's tiny pussy takes all this cock and dies trying,Sexist
Threat,I'm gonna throw a big rock at you if I ever see you,Sexist
Threat,You need your ass beat I'm comin ,Sexist
Threat,I'll kick the complete shit out of you,Sexist
Threat,I'll hold your gun to your head and put my cock in your mouth,Sexist
Threat,Nothing would make me happier than beating the shit out of that Kaitlin Bennet glock bitch,Sexist
Threat,;Good Morning it's 6;;43 am and I am ready to beat Kaitlin Bennet;,Sexist
Threat,God I'm gonna pay someone to knock the shit out of Kaitlin Bennet bitch ,Sexist
Threat,I'm gonna drop a big anvil on Kent State gun girl's head ,Sexist
Threat,and if I ever see you in real life I'll beat the fuck out of you no guns or anything just hands,Sexist
Threat,Lemme shoot your fucking head off,Sexist
Threat,Come to Tampa and get your ass beat I DARE YOU,Sexist
Threat,Idc if you carry Imma beat your ass up anyway,Sexist
Threat,Let me clap your ass cheeks slut,Sexist
Threat,No one cares if you carry we're still gonna beat your disrespectful instigating ass,Sexist
Threat,You're gonna get your shit rocked for real,Sexist
Threat,I'm just gonna come your way and give you the ass beating you so desperately need,Sexist
Threat,Wondering if I should go fight this girl for talking shit about me 3 months ago who's with me,Sexist
Threat,All I want in life is to beat the fuck out of Kaitlin Bennet ,Sexist
Threat,Idc if Kaitlin bennet carries I'll still kick her ass,Sexist
Threat,"""You know I carry right"" well yeah bitch I'd still punch the shit out of you",Sexist
Threat,I swear to god bitch I'm gonna beat you the fuck up,Sexist
Threat,Come to Fresco and try that shit out bitch see what happens to you ,Sexist
Threat,Bitch I beat the goofy out ya ass if you ever pull up here ,Sexist
Threat,Hoe just know that if I ever see you you finna catch these hands ,Sexist
Threat,"""I carry"" nobody fucking cares come here you'll get your shit rocked",Sexist
Threat,I'm gonna beat your ass you stupid white bitch ,Sexist
Threat,ok but I'm gonna beat the shit out of you bitch,Sexist
Threat,I'm comin to beat the hell out of your white ass,Sexist
Threat,ramen noodle headless bitch I'm gonna shoot you,Sexist
Threat,If I ever see that Kent State gun girl I'm swinging hard as fuck,Sexist
Threat,Fuck your gun you won't have time to ain it while you're catching all these hands,Sexist
Threat,I will pay you for a one on one fight no guns just hands because I really do wanna beat your ass bitch,Sexist
Threat,ok but Kaitlin Bennet I'm coming for you you bitch,Sexist
Threat,I'll face fuck you ,Sexist
Threat,Happy last birthday ,Sexist
Threat,This bitch gonna get her shit rocked for real,Sexist
Threat,Someone smack her before I do,Sexist
Threat,Why don't you take your ass to the hood and see how tough you are there privileged white bitch),Sexist
Threat,Stop acting like you're gonna shoot someone you're the one who'll get shot stupid white bitch,Sexist
Threat,I'll pop a cap straight up your ass,Sexist
Threat,Come pull up to my yard with your bullshit I'll bang your ass up miserable bitch ,Sexist
Threat,You do know that I can take a trip and rape your gf right,Sexist
Threat,Imma take a trip to Cleveland and rape your gf fr,Sexist
Threat,Bitch I'll grab your gun and knock your teeth down your throat with it try me,Sexist
Threat,Remember I won't yield when you're begging for mercy when there's a gun pointed to your head,Sexist
Threat,Whole bunch of black niggas gonna dick your gf down and it'll be viral on Twitter,Sexist
Threat,Let's form a team and beat her ass,Sexist
Threat,I'll shoot your clit off bitch,Sexist
Threat,Pull up bitch fight me,Sexist
Threat,Hoe I will square the fuck up with your nasty ass,Sexist
Threat,I'd love to have the opportunity to dick you down,Sexist
Threat,I'm gonna pay someone to ship you to the moon or kill you whichever works for them,Sexist
Threat,I'm gonna punch the living shit out of you if we ever cross ways you repellent black bitch ,Sexist
Threat,Do you wanna be bashed up in public? Consider this a warning,Sexist
Threat,I will rape you before I kill you you filthy whore!,Sexist
Threat,I will shoot you and then rape your dead body with a baseball bat.. or maybe the other way around who knows,Sexist
Threat,Be raped then atleast I warned you,Sexist
Threat,I will rape your daughter,Sexist
Threat,I want to set you on fire seriously,Sexist
Threat,Friendly reminder I'm coming for you I'll run a knife through you and sever your spinal cord,Sexist
Threat,I'll smash your face in with a baseball bat ya cunt,Sexist
Threat,I'll fuck your privileged pussy with a broken beer bottle ,Sexist
Threat ,I'll shove my cock in your mouth once for every time you've ever opened it,Sexist
Threat,When I rape you there'll be no one to hear you scream,Sexist
Threat,I'll go balls deep in that feminist asshole of urs,Sexist
Threat,You won't know it when I come up behind you bend you over and rape you,Sexist
Threat,She's the biggest fucking loser on Twitter let's all rape her,Sexist
Threat,Watch your back but your families will be first,Sexist
Threat,Reckon we can get you out of your lingerie with a little work,Sexist
Threat,With tits like that I'll pay you to lemme rape you,Sexist
Threat,I prefer them naked and loud so the question is are you a screamer bitch?,Sexist
Threat,Just shut the fuck up cuz if I ever see you I'm gonna force this dick in you,Sexist
Threat,I'll cut your fucking tits off,Sexist
Threat,When I finish raping you I'll cut your breasts off and pour acid all over your chest,Sexist
Threat,Watch your back slut I'm coming for you with gallons of acid,Sexist
Threat,Gon fuck you up no cap,Sexist
Threat,Imma get those tits one way or another,Sexist
Threat,Whore I will stab off your intestines,Sexist
Threat,I will chop your tits off and throw them in a dumpster,Sexist
Threat,I'm gonna rape her who's with me,Sexist
Threat,Wanna rape all your holes twice,Sexist
Threat,I will cut your boobs off with my knife,Sexist
Threat,I'm coming for you,Sexist
Threat,You're hot. It's a shame you're about to be blown up,Sexist
Threat,I will have my revenge you bitch ,Sexist
Threat,You have 24 hours use them well,Sexist
Threat,I'm warning you bitch,Sexist
Threat,Get ready to get hit by a real man,Sexist
Threat,I'll rape your feminist ranting bitch ass,Sexist
Threat,Let's rape this fat bitch,Sexist
Threat,I'll poke your cunt with a massive dildo,Sexist
Threat,I'll grab you by the pussy feminist cunt,Sexist
Threat,I'll go jo cox this bitch,Sexist
Threat,I'll burn your white ass as in I'll literally set it on fire,Sexist
Threat,I'll fucking rape you you fucking whore ,Sexist
Threat,I'm gonna choke you with my penis,Sexist
Threat,Will gag you on my dick how bout that black bitch,Sexist
Threat,Me and mah boys gonna gang rape all the feminists out there and we startin with you be ready slut,Sexist
Threat,I'll show you what a real man does to a bitch like you,Sexist
Threat,I'll complete your journey by beheading you black bitch,Sexist
Threat,Kill yourself tonight or imma do it for you tomorrow,Sexist
Threat,It's 9:18 am and I'm gonna kill you,Sexist
Threat,Imma come for you lil slut and the cops wont save you cuz your black,Sexist
Threat,I won't just kill you I'll kill every woman on your floor,Sexist
Threat,hmm will I rape you kill you or both,Sexist
Threat,Imma hunt you down,Sexist
Threat,I'm gonna kill you with my own hands and then rape your dead body,Sexist
Threat,I'm ready to kill you fucking whore ,Sexist
Threat,whore I will find you and I will kill you,Sexist
Threat,where does she live I will literally kill her,Sexist
Threat,Im gonna have your head on a platter,Sexist
Threat,Im gonna kill you with my bare fucking hands,Sexist
Threat,I am gonna murder you,Sexist
Threat,I am gonna kill you fucking slut,Sexist
Threat,yo bitch imma kill you,Sexist
Threat,You ruined my life with your stupid writing I am gonna kill you,Sexist
Threat,You think calling you a cunt is a threat wait till you see what I do to you lol,Sexist
Threat,Imma end your power trip and your life hehe,Sexist
Threat,Bitch I'll kill you,Sexist
Threat,pee pee poo poo bitch I'll kill you,Sexist
Threat,Can someone pussy up and kill her already or do I have to do everythin around here,Sexist
Threat,you wanna know what Im gonna kill her for being a terf,Sexist
Threat,I am seriously gonna kill you,Sexist
Threat,what the fuck is a sex based right bityatch im gonna kill you,Sexist
Threat,Fine I'll kill you myself bitch,Sexist
Threat,God I hate her pls kill her for my 18th bday,Sexist
Threat,Just kill her already because I will if no one else does,Sexist
Threat,Unironically I am going to kill you,Sexist
Threat,I cant deal with your bs anymore so imma kill you now,Sexist
Threat,Consider yourself warned,Sexist
Threat,Open your comment section before I fuck you sideways bitch,Sexist
Threat,Im gonna fuck you wtf is wrong with you bitch,Sexist
Threat,I am going to fuck you dead ,Sexist
Threat,I have two accomplices and we are coming to kill you on April 1st!,Sexist
Threat,You will pay for this damage you have caused,Sexist
Threat,I hate you! Watch out bitch I wont ever forget this Im coming for you,Sexist
Threat,fuck you you motherfucking piece of shit I am going to kill you,Sexist
Threat,Making you pay for this with your life even if I die trying,Sexist
Threat,I'll kill you slowly and painfully for this you deserve it,Sexist
Threat,I'll choke you to death I mean it,Sexist
Threat,Im gonna fuck you to your death ignorant bitch,Sexist
Threat,I can't wait to shoot you in the face,Sexist
Threat,I'm gonna take you bitches out one by one,Sexist
Threat,I'm here to let you know that you're gonna die on August 5th,Sexist
Threat,shut up or i'll rape you ugly ass bitch,Sexist
Threat,say goodbye whore,Sexist
Threat,I'll shoot you just to rid the world of another moron,Sexist
Threat,uk what Im done joking I have 10 bombs in my basement and theyre all meant for you so come catch me if you can,Sexist
Threat,you're gonna die in a car crash beware,Sexist
Threat,U will die in 7 days you coon,Sexist
Threat,Bitch shut the fuck up before I kill you,Sexist
Threat,I'll destroy you before you whitewash my queen,Sexist
Threat,This zionist gonna die by my hands,Sexist
Threat,fucking die you zionist whore or I'll make you,Sexist
Threat,I hate your guts you criminal bitch I will ruin you ,Sexist
Threat,I'm gonna choke you white bitch ,Sexist
Threat,shut the fuck up you zionist bitch before I make you,Sexist
Threat,miss zionist you better save your life if you can,Sexist
Threat,I am going to kill you I am not even kidding bitch ,Sexist
Threat,Anyone who wants to help me kill her dm,Sexist
Threat,I want to see this woman dead who's with me let's make it happen,Sexist
Threat,I am genuinely going to burn your fucking house down you bitch,Sexist
Threat,We need to put her down like the rabid bitch that she is cmon guys,Sexist
Threat,Somebody stab this bitch already or do I have to do that too,Sexist
Threat,Chill I've threatened to murder lots of bitches...this the only one I'll go through with tho,Sexist
Threat,think I might dress up as a woman and kill you for being such a stupid bitch,Sexist
Threat,whenever you feel safe think about me planning to rape you in your bedroom before killing you,Sexist
Threat,I am going to kill you with my bare fucking hands no joke bitch,Sexist
Threat,fuck it I'll put on a dress and kill you myself stupid white bitch,Sexist
Threat,Oh weee I'm gonna kill you Oh wee I'm gonna kill you with my gun bitch,Sexist
Threat,I'm about to shove it up your ass because you're asking for it at this point,Sexist
Threat,I am a murderous cis man and I'm about to kill you,Sexist
Threat,I'm about to murder you transphobic bitch,Sexist
Threat,Enjoy your last days on Earth white terf bitch,Sexist
Threat,Fuck that I'm gonna kill this bitch,Sexist
Threat,You're gonna die the most violent death in human history cunt,Sexist
Threat,I will literally be so happy the day I kill you,Sexist
Threat,You gonna die an unspeakable death terf bitch,Sexist
Threat,You will die in 48 hours,Sexist
Threat,You're going to fucking die tonight,Sexist
Threat,You will actually die,Sexist
Threat,I'm gonna make this woman dead,Sexist
Threat,count yo mf days bitch,Sexist
Threat,no at this point imma beat yo white ass,Sexist
Threat,you need your lily white ass beat bigot bitch,Sexist
Threat,you will pay for your crimes because I'm gonna rape you freak bitch,Sexist
Threat,Stop opening your filthy mouth or I'll make you,Sexist
Threat,suck my dick bitch im comin ,Sexist
Threat,I'm gonna stamp on your self entitled transphobic ugly head bitch,Sexist
Threat,Imma kill you and it gon look like an accident fosho,Sexist
Threat,I'll absolutely do murder if it means killing you white bitch,Sexist
Threat,When we start killing rich people I'll personally kill you,Sexist
Threat,I'll beat the fuck out of you transphobic trash,Sexist
Threat,I'm going to break your teeth if you don't shut the fuck up soon,Sexist
Threat,I'll make you dig your own grave and crawl into it and then I'll bury you alive white terf bitch,Sexist
Threat,Bend your racist ass over bitch I'm coming to teach you a lesson,Sexist
Threat,Can you shut up or should I shut you up because I'm closer than you think,Sexist
Threat,Bitch I'm comin fr ya ,Sexist
Threat,Tonight we gonna find out if you can indeed choke on my dick,Sexist
Threat,Gonna choke the fuck out of you,Sexist
Threat,Stupid white woman i'll kill you,Sexist
Threat,I'll beat yo racist ass gurl,Sexist
Threat,Suck my dick and choke on it and die bitch see u tonight,Sexist
Threat,I'm in your driveway fight me bitch,Sexist
Threat,Suck my dick and choke on it you ignorant fucking slut,Sexist
Threat,I'll kill all terfs but I'm starting with you real soon,Sexist
Threat,I made a twitter account just so that I could tell you that I'm coming to rape and kill you white transphobic bitch,Sexist
Threat,Hey I made a Twitter account just to warn you,Sexist
Threat,I'm gonna kill you with my bare fucking hands,Sexist
Threat,I'm ready to kill you motherfucker,Sexist
Threat,I will fucking find you and fucking kill you is that fucking clear,Sexist
Threat,Gonna get your head on a platter real soon cunt,Sexist
Threat,It's official. I'm going to kill you. ,Sexist
Threat,You gonna die at my hands fosho cunt,Sexist
Threat,You just a lil bitch aren't you I will kill you,Sexist
Threat,I'm gonna k word you,Sexist
Threat,Imma fucking kill you fucking whore,Sexist
Threat,You gon die chokin on my dick,Sexist
Threat,I will kill you but before that I will humiliate you choke you fuck you and make you wish you were dead,Sexist
Threat,I will proudly kill you because it will mean the world is void of another basic bitch ,Sexist
Threat,I'll choke you with a plastic bag smh bitch,Sexist
Threat,You giant baby maybe my cock will help you grow the fuck up or maybe it'll kill you who knows ,Sexist
Threat,I'll kill you just like you killed my sister,Sexist
Threat,I'll drown you in my cum slut,Sexist
Threat,You're hot you can't blame me for wanting to rape you just take it as a compliment,Sexist
Threat,I'm from Al Qaeda and I'm gonna do something really big on June1st bye,Sexist
Threat,I'll murder you then tweet about it cunt,Sexist
Threat,it's time to crush you vile worms into the ground,Sexist
Threat,You two bitches will die in a car crash,Sexist
Threat,I hope you enjoy your last moments on earth whore,Sexist
Threat,Hey baby you say one more word about me and you dead,Sexist
Threat,your army of sluts can't save you from me,Sexist
Threat,Don't go to school on monday there I warned you,Sexist
Threat,here's a death threat scumbag,Sexist
Threat,see you on 7th I'll be there with a rope and a gag bye,Sexist
Threat,I'll kill you for this,Sexist
Threat,At this point when I kill you it will be justified for all the harm you have brought on our nation,Sexist
Threat,your head will be cut off soon inshallah,Sexist
Threat,I'll drown you,Sexist
Threat,you will suffer consequences like no one else ever has,Sexist
Threat,you should really be nice to her since she won't be around very long,Sexist
Threat,exercise your free speech all you want that wont stop me from killing you,Sexist
Threat,If you have any kids they're gonna die too,Sexist
Threat,I'm going to find you and slaughter you,Sexist
Threat,I'm going to kill you,Sexist
Threat,I will find you and I will kill your kid while you watch,Sexist
Threat,I will stab you mark my fucking words ,Sexist
Threat,Enjoy your last concert slut,Sexist
Threat,Stop breathing or I'll make you,Sexist
Threat,No means yes haha Im coming,Sexist
Threat,Your mutilated corpse will be on the front page tomorrow and you can't do jackshit to stop it,Sexist
Threat,I'm going to rape your filthy pussy until you bleed then choke you death on my penis,Sexist
Threat,I've got a K bar and I'm coming to your house to shove it up your ugly cunt,Sexist
Threat,Guess what bitch I know where you live now be careful,Sexist
Threat,Will it be rape if I don't think you're a human?,Sexist
Threat,You're gonna get seriously hurt,Sexist
Threat,I will murder you the next time I see you just a heads up,Sexist
Threat,I am going to kill you,Sexist
Threat,I'll drown you bitch,Sexist
Threat,I'll fuck you till you pass out,Sexist
Threat,Hey bitch hope you enjoy the last day of your life,Sexist
Threat,Can't wait to get my hands on you,Sexist
Threat,I'll fucking stab you to death,Sexist
Threat,You're gonna blow up tonight,Sexist
Threat,Yo bitch I'll make you watch as I kill your kid,Sexist
Threat,I'll choke you to death bitch,Sexist
Threat,I'll make sure you die bitch,Sexist
Threat,My penis will kill sluts like you,Sexist
Threat,I'll kill you,Sexist
Threat,Gag and die bitch ,Sexist
Threat,I'll stick mine up your daughter's ass,Sexist
Threat,Count your days fucker,Sexist
Threat,I hate you bitch I'll kill you,Sexist
Threat,Tomorrow night consider yourself warned,Sexist
Threat,I'll choke you whore,Sexist
Threat,After the kind of shit you've put out in the world I wonder if it would be called murder or mercy when I kill you,Sexist
Threat,I'll literally fucking set you on fire bitch,Sexist
Threat,You're such a big sell out that even when I shoot you it'll be justified,Sexist
Threat,I'm gonna finish you off one way or another ,Sexist
Threat,Can you please die because I hate to become a murderer this far along in my life ,Sexist
Threat,Bomb. Tonight. Bye. ,Sexist
Threat,I'll blow you up so good all they'll find is pieces,Sexist
Threat,I will set your feminist ass on fire no doubt,Sexist
Threat,Terf deserves to choke on my gay penis ,Sexist
Threat,There's a rod in my bedroom with your name on it skanky bitch,Sexist
Threat,I'll break your windpipe,Sexist
Threat,Imma smack you so hard your spine will break into two halves like a fucking wishbone,Sexist
Threat,Homophobic motherfucker can choke on my gay cock,Sexist
Threat,Stop talking like you know stuff or I'll shut you up for good,Sexist
Threat,See you tonight I'm bringing my favorite knife it'll land up inside you can't wait ,Sexist
Threat,I'll rape you just to teach you a lesson,Sexist
Threat,I'll stuff my penis down your girl's throat and make you watch as it literally sucks the life out of her,Sexist
Threat,I'll cane you cunt,Sexist
Threat,Gonna fuck you up like dayummm whore,Sexist
Threat,Oh so you want me to make you a sandwich? Yep one sec lemme sprinkle some poison on that,Sexist
Threat,I'll choke you till your windpipe cracks hope you find that sexy,Sexist
Threat,I'll fucking k word you,Sexist
Threat,Murder or suicide.. bet nobody will know the difference after I'm through with you,Sexist
Threat,I'll drown your lungs in bleach ,Sexist
Threat,I'll sock you jackass,Sexist
Threat,Beware I'm watching,Sexist
Threat,You deserve what I'm bringing your way but you also deserve a warning so here it is,Sexist
Threat,I'll kill you and send your corpse as a Christmas present to your homophobic girlfriend,Sexist
Threat,I won't just kill you I'll kill every black bitch at your uni,Sexist
Threat,The cops won't save you bitch you're black,Sexist
Threat,Please stop or I will kill your kids and grandkids,Sexist
Threat,I'll shoot you in your throat after kicking you in your pussy bye bitch,Sexist
Threat,If I ever see you I'll knock your fucking teeth out it will very well be worth the assault charge,Sexist
Threat,Kill yo self tonight or imma do it for you wednesday night! ,Sexist
Threat,Congratulations you just opened the gates of hell on yourself watch what's coming your way ,Sexist
Threat,Fulfil my orders in the previous tweet or it's yo life bitch I'm not even kidding,Sexist
Threat,I swear if you can't do this it's over for you bitch,Sexist
Threat,Girl you can't even drive sit yo ass down before I finish you,Sexist
Threat,SSM? More like SAT don't make me kill you bitch,Sexist
Threat,I'll get you someday,Sexist
Threat,Suck my dick bitch if I find out where you live it's fucking over for you,Sexist
Threat,You cunning stealing black bitch no amount of security can prepare you for what's coming your way,Sexist
Threat,My life goal is to kill you I don't care how many sentences I serve,Sexist
Threat,Will kill your dumbass fosho,Sexist
Threat,You're not an artist please disappear or I'll have to take matters in my own hands in the name of all good art,Sexist
Threat,There's a bomb in your house ,Sexist
Threat,If you meet me even once I'll kill you I promise,Sexist
Threat,Dump that black nigga bitch or I'll make you,Sexist
Threat,Do you want to fucking die whore? No? Then shut up,Sexist
Threat,Can you die already or do I have to make sure someone kills you myself,Sexist
Threat,If you can't win today your life is over I guarantee it,Sexist
